"Gender","Suspicious","Betrayed","Worried","Distrustful","Jealousy","Rejected","Hurt","Anxious","Angry","Threatened","Sad","Upset","Attractiveness_check1","Attractiveness_check2","Assertiveness","Self_confidence","Extroverted","Influential","Socially_competent","Good_judge_of_character","Attractive_not_dominant_woman","Unattractive_dominant_woman","Attractive_dominant_woman","Unattractive_not_dominant_woman","Attractive_not_dominant_man","Unattractive_dominant_man","Attractive_dominant_man","Unattractive_not_dominant_man","Mate_value1","Mate_value2","Mate_value3","Mate_value4","Mate_value5","Mate_value6","Sample","Attractive_condition","Dominant_condition","ID"
2,3,3,4,3,2,3,3,4,3,2,3,3,1,2,2,2,2,3,4,3,NA,NA,1,NA,NA,NA,NA,NA,5,6,5,5,5,4,"Online","Attractive","Dominant",24
1,3,1,1,1,1,5,1,1,2,3,3,1,4,7,2,4,4,4,4,3,NA,NA,NA,NA,NA,NA,1,NA,5,5,3,4,5,2,"Online","Attractive","Dominant",25
1,3,2,2,3,3,2,3,4,2,2,1,1,3,3,2,2,1,1,2,3,NA,NA,NA,NA,1,NA,NA,NA,5,5,5,5,5,3,"Online","Attractive","Not Dominant",26
1,5,4,4,3,4,1,3,4,4,3,3,3,6,7,3,4,3,5,4,1,NA,NA,NA,NA,1,NA,NA,NA,7,6,6,6,6,4,"Online","Attractive","Not Dominant",27
2,3,3,3,3,3,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,"Online","Not Attractive","Not Dominant",28
2,4,4,4,3,5,4,4,4,5,4,4,4,4,3,4,4,3,4,5,5,NA,NA,1,NA,NA,NA,NA,NA,5,5,4,4,5,6,"Online","Attractive","Dominant",29
2,2,2,2,2,2,2,3,4,3,2,3,3,5,4,4,5,5,5,5,5,NA,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,4,"Online","Not Attractive","Dominant",30
1,3,2,2,2,3,1,3,4,4,2,1,1,6,7,2,3,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,6,6,2,"Online","Not Attractive","Not Dominant",31
2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,4,6,5,4,6,2,"Online","Attractive","Not Dominant",32
1,4,4,4,3,4,4,4,5,4,4,4,4,6,6,2,4,4,3,3,4,NA,NA,NA,NA,NA,1,NA,NA,4,5,4,6,6,2,"Online","Not Attractive","Dominant",33
2,1,2,2,2,2,2,2,1,2,1,2,2,7,7,2,2,2,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,5,2,5,5,5,5,"Online","Not Attractive","Not Dominant",34
2,5,5,4,3,4,4,3,4,5,3,3,4,7,7,3,1,3,2,3,3,NA,NA,NA,1,NA,NA,NA,NA,4,6,5,6,5,2,"Online","Not Attractive","Not Dominant",35
2,2,3,3,3,4,3,4,4,4,3,4,4,4,5,2,3,3,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,5,5,4,2,5,2,"Online","Attractive","Not Dominant",36
2,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,2,2,2,4,3,NA,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3,1,"Online","Not Attractive","Dominant",37
2,4,2,4,2,4,4,4,5,5,2,4,4,3,3,4,4,4,4,4,2,NA,NA,1,NA,NA,NA,NA,NA,3,5,5,5,5,2,"Online","Attractive","Dominant",38
2,4,5,5,5,5,4,4,5,5,5,5,5,7,6,4,4,4,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,6,6,5,5,6,1,"Online","Not Attractive","Dominant",39
1,2,2,2,2,2,2,2,2,1,2,2,2,7,7,3,3,3,3,3,2,NA,NA,NA,NA,NA,1,NA,NA,4,5,2,4,4,1,"Online","Not Attractive","Dominant",40
2,2,3,4,3,5,3,4,4,5,3,4,4,4,6,2,2,2,3,3,3,NA,NA,1,NA,NA,NA,NA,NA,6,6,6,6,6,6,"Online","Attractive","Dominant",41
2,3,2,2,2,4,3,4,3,3,4,4,4,1,1,4,5,2,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,1,"Online","Attractive","Not Dominant",42
2,1,1,1,1,2,1,1,2,1,1,1,1,5,5,2,2,2,3,1,2,NA,NA,NA,1,NA,NA,NA,NA,3,3,2,2,3,7,"Online","Not Attractive","Not Dominant",43
2,2,1,2,2,1,1,1,2,2,1,1,2,4,6,4,4,4,5,5,2,NA,1,NA,NA,NA,NA,NA,NA,5,5,6,6,5,6,"Online","Not Attractive","Dominant",44
1,2,1,1,1,3,1,1,1,1,1,1,1,5,5,4,4,3,3,4,3,NA,NA,NA,NA,NA,NA,1,NA,3,5,6,1,5,1,"Online","Attractive","Dominant",45
2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,6,5,"Online","Attractive","Not Dominant",46
2,3,2,2,2,4,3,2,5,4,5,4,5,4,7,3,5,4,5,5,5,NA,NA,1,NA,NA,NA,NA,NA,7,7,7,2,6,2,"Online","Attractive","Dominant",47
2,2,3,3,2,4,1,2,5,2,2,4,2,3,6,4,4,3,1,4,4,NA,NA,1,NA,NA,NA,NA,NA,7,7,5,5,6,4,"Online","Attractive","Dominant",48
2,5,4,4,4,2,2,3,4,4,1,2,2,6,6,2,3,3,3,2,2,NA,NA,NA,1,NA,NA,NA,NA,5,5,5,6,5,2,"Online","Not Attractive","Not Dominant",49
1,2,1,1,1,1,1,1,2,1,1,1,1,4,5,4,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,3,5,4,"Online","Not Attractive","Not Dominant",50
2,2,1,2,2,2,1,1,2,1,2,1,2,3,6,3,4,3,3,3,3,NA,1,NA,NA,NA,NA,NA,NA,5,5,5,1,5,1,"Online","Not Attractive","Dominant",51
1,3,1,2,2,2,1,2,3,1,2,3,3,3,2,4,5,4,3,3,3,NA,NA,NA,NA,1,NA,NA,NA,3,2,3,1,2,1,"Online","Attractive","Not Dominant",52
2,5,5,4,4,4,5,5,5,5,4,5,5,3,7,4,5,5,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,6,6,"Online","Attractive","Not Dominant",53
1,4,3,4,4,3,3,3,5,4,3,3,3,7,7,4,4,3,3,4,2,NA,NA,NA,NA,NA,1,NA,NA,5,4,4,5,5,7,"Online","Not Attractive","Dominant",54
2,3,2,2,2,2,2,1,2,1,2,1,1,4,4,2,3,3,3,3,3,NA,1,NA,NA,NA,NA,NA,NA,1,2,3,1,2,3,"Online","Not Attractive","Dominant",55
2,2,2,2,2,2,1,2,1,2,1,1,2,3,6,3,2,2,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,5,5,"Online","Attractive","Not Dominant",56
2,4,3,2,2,2,2,2,2,2,2,1,1,3,6,3,4,3,2,4,4,NA,NA,NA,1,NA,NA,NA,NA,5,6,3,6,6,3,"Online","Not Attractive","Not Dominant",57
2,2,2,2,2,2,1,2,3,2,1,2,2,6,4,1,1,3,3,2,4,NA,NA,NA,1,NA,NA,NA,NA,5,5,5,6,5,5,"Online","Not Attractive","Not Dominant",58
2,2,2,3,2,3,2,2,4,2,2,2,2,3,3,4,4,4,4,4,3,NA,NA,1,NA,NA,NA,NA,NA,5,5,5,4,4,3,"Online","Attractive","Dominant",59
2,2,2,2,2,2,2,2,2,2,1,2,2,7,7,2,2,4,2,2,4,NA,1,NA,NA,NA,NA,NA,NA,5,6,7,6,6,3,"Online","Not Attractive","Dominant",60
1,4,3,3,2,2,2,2,4,2,1,2,2,5,6,3,3,2,2,3,2,NA,NA,NA,NA,1,NA,NA,NA,2,2,3,2,3,1,"Online","Attractive","Not Dominant",61
2,3,3,3,3,3,3,3,3,3,2,3,3,5,5,3,3,3,3,3,3,NA,1,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,"Online","Not Attractive","Dominant",62
2,4,4,5,5,5,5,3,3,4,4,3,3,3,4,4,3,4,2,4,2,NA,NA,1,NA,NA,NA,NA,NA,5,5,6,5,5,6,"Online","Attractive","Dominant",63
1,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,5,5,5,5,5,2,"Online","Attractive","Dominant",64
1,4,3,1,3,1,2,2,1,2,1,2,2,3,6,2,1,2,3,2,2,NA,NA,NA,NA,1,NA,NA,NA,6,6,6,6,6,6,"Online","Attractive","Not Dominant",65
1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,3,2,3,2,2,3,NA,NA,NA,NA,NA,NA,1,NA,6,6,6,6,6,7,"Online","Attractive","Dominant",66
2,2,2,3,3,4,1,2,2,2,1,4,3,6,2,2,2,2,2,2,1,NA,NA,NA,1,NA,NA,NA,NA,2,5,4,1,6,2,"Online","Not Attractive","Not Dominant",67
2,2,3,2,2,5,3,4,4,3,5,4,3,1,2,4,3,3,3,3,3,NA,NA,1,NA,NA,NA,NA,NA,5,5,5,5,5,3,"Online","Attractive","Dominant",68
2,2,2,3,2,3,2,2,3,2,2,3,3,5,6,3,2,3,3,3,3,NA,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,4,"Online","Not Attractive","Dominant",69
2,4,3,4,2,3,1,2,1,1,1,4,4,3,4,4,4,4,2,4,2,NA,NA,1,NA,NA,NA,NA,NA,5,5,5,2,5,1,"Online","Attractive","Dominant",70
2,3,2,2,2,2,2,2,2,3,2,3,3,3,4,2,2,3,2,2,4,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"Online","Not Attractive","Dominant",71
1,2,1,1,1,1,1,1,1,1,1,1,1,6,3,3,4,3,3,3,4,NA,NA,NA,NA,NA,1,NA,NA,6,5,4,5,5,7,"Online","Not Attractive","Dominant",72
1,2,2,1,1,2,1,1,2,2,1,2,2,6,6,3,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,6,6,6,"Online","Not Attractive","Not Dominant",73
2,2,1,1,1,1,1,1,2,1,1,1,1,7,6,4,5,4,4,1,1,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,5,4,2,"Online","Not Attractive","Not Dominant",74
2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,3,2,2,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,3,1,"Online","Attractive","Not Dominant",75
1,3,2,3,4,3,2,4,2,4,1,3,4,6,6,3,4,4,4,4,2,NA,NA,NA,NA,NA,NA,1,NA,5,4,3,6,5,5,"Online","Attractive","Dominant",76
2,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,4,2,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,5,5,5,2,6,1,"Online","Not Attractive","Dominant",77
1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,5,5,4,"Online","Not Attractive","Not Dominant",78
2,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,3,3,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,5,5,5,2,5,1,"Online","Attractive","Not Dominant",79
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1,NA,NA,NA,NA,NA,3,5,3,2,5,2,"Online","Attractive","Dominant",80
2,2,4,2,2,5,5,5,4,5,2,5,5,5,5,3,3,3,3,3,2,NA,NA,NA,1,NA,NA,NA,NA,3,3,3,2,3,1,"Online","Not Attractive","Not Dominant",81
2,4,2,2,2,4,4,2,5,1,1,3,2,4,3,2,4,4,4,4,2,NA,1,NA,NA,NA,NA,NA,NA,5,6,5,6,6,5,"Online","Not Attractive","Dominant",82
2,4,4,2,3,4,4,4,3,4,4,4,4,3,1,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,5,1,"Online","Attractive","Not Dominant",83
2,5,5,5,5,5,5,5,5,5,4,5,5,3,5,2,4,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,3,5,5,1,5,1,"Online","Attractive","Not Dominant",84
2,2,4,3,4,2,3,4,2,3,3,2,3,3,6,3,3,3,3,2,3,NA,1,NA,NA,NA,NA,NA,NA,4,6,4,5,6,1,"Online","Not Attractive","Dominant",85
2,1,1,1,1,1,1,1,1,1,1,1,1,6,5,2,4,3,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,4,3,4,4,4,3,"Online","Not Attractive","Not Dominant",86
1,1,1,1,1,2,1,1,1,1,1,2,1,6,4,4,4,4,2,5,3,NA,NA,NA,NA,NA,1,NA,NA,6,4,2,5,5,1,"Online","Not Attractive","Dominant",87
1,5,5,5,5,5,5,5,5,5,5,5,5,7,7,2,1,3,1,4,4,NA,NA,NA,NA,NA,1,NA,NA,6,6,4,4,6,2,"Online","Not Attractive","Dominant",88
2,3,2,2,5,2,1,2,1,2,1,2,2,3,2,4,5,5,3,4,1,NA,NA,1,NA,NA,NA,NA,NA,6,6,5,5,6,7,"Online","Attractive","Dominant",89
2,4,3,3,3,4,3,4,4,4,3,4,4,3,4,3,4,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,5,6,5,6,5,1,"Online","Attractive","Not Dominant",90
2,2,3,2,2,2,5,2,1,1,1,2,2,5,5,4,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,5,5,5,6,6,6,"Online","Not Attractive","Dominant",91
2,5,3,5,4,5,5,4,5,4,4,5,5,2,1,4,5,4,5,4,3,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,3,5,"Online","Attractive","Not Dominant",92
2,4,4,4,4,5,5,5,5,5,5,5,5,3,6,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,5,6,5,2,"Online","Attractive","Not Dominant",93
2,2,2,2,2,3,2,2,3,2,2,2,2,5,5,4,5,4,3,5,3,NA,1,NA,NA,NA,NA,NA,NA,2,2,3,4,4,1,"Online","Not Attractive","Dominant",94
1,4,4,3,3,5,2,4,5,5,3,2,2,7,7,3,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,6,6,6,5,"Online","Not Attractive","Not Dominant",95
2,4,3,3,2,2,2,2,3,4,1,3,3,3,4,4,3,2,3,4,3,NA,NA,1,NA,NA,NA,NA,NA,6,6,6,6,6,6,"Online","Attractive","Dominant",96
2,2,3,2,2,2,2,2,2,2,1,2,2,5,4,3,2,2,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,5,2,1,2,1,6,"Online","Not Attractive","Not Dominant",97
2,4,5,5,5,4,4,4,5,5,2,4,4,6,6,3,2,4,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,5,6,5,3,6,4,"Online","Attractive","Not Dominant",98
2,2,3,2,2,2,2,3,2,3,2,2,3,3,3,3,4,4,5,4,4,NA,NA,1,NA,NA,NA,NA,NA,5,5,6,5,5,5,"Online","Attractive","Dominant",99
2,2,2,1,1,2,2,2,1,2,1,2,2,4,5,4,4,4,3,4,2,NA,NA,1,NA,NA,NA,NA,NA,5,5,5,3,5,2,"Online","Attractive","Dominant",100
1,2,1,1,1,4,2,1,3,2,1,1,1,6,7,4,4,4,4,4,4,NA,NA,NA,NA,1,NA,NA,NA,2,7,7,2,3,2,"Online","Attractive","Not Dominant",101
2,4,2,2,2,4,2,3,5,4,2,2,2,4,4,3,2,2,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,5,3,2,1,5,4,"Online","Not Attractive","Not Dominant",102
2,5,5,4,3,5,5,5,3,5,4,5,5,5,5,3,5,5,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,3,5,5,2,5,1,"Online","Attractive","Not Dominant",103
2,3,3,3,3,3,3,4,2,3,2,4,4,4,5,3,4,4,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,6,5,4,4,4,4,"Online","Not Attractive","Dominant",104
2,3,2,2,2,4,3,2,5,4,2,4,4,6,4,3,4,3,4,4,2,NA,NA,NA,1,NA,NA,NA,NA,4,2,2,2,2,2,"Online","Not Attractive","Not Dominant",105
2,4,4,2,1,1,2,2,1,2,1,1,1,4,7,1,4,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,7,7,7,6,4,1,"Online","Not Attractive","Not Dominant",106
2,2,2,3,3,4,3,4,2,2,2,2,2,2,1,3,3,3,3,3,3,NA,NA,1,NA,NA,NA,NA,NA,5,5,5,3,4,4,"Online","Attractive","Dominant",107
2,3,2,3,2,4,4,4,5,4,3,5,4,2,2,4,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,NA,2,5,4,2,5,2,"Online","Attractive","Dominant",108
1,5,5,5,5,5,5,5,5,5,3,5,5,7,2,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,4,"Online","Not Attractive","Not Dominant",109
1,5,4,4,4,4,5,5,3,5,5,4,4,2,3,4,5,5,5,5,4,NA,NA,NA,NA,NA,NA,1,NA,4,5,3,3,4,2,"Online","Attractive","Dominant",110
2,4,3,2,3,4,3,3,5,5,3,4,3,3,3,3,2,4,1,4,1,NA,NA,1,NA,NA,NA,NA,NA,4,5,4,2,5,2,"Online","Attractive","Dominant",111
2,2,3,2,2,2,2,2,2,2,2,2,2,5,4,4,4,4,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,5,4,"Online","Attractive","Not Dominant",112
1,3,3,3,3,5,3,3,3,4,3,3,3,7,1,4,4,4,1,3,2,NA,NA,NA,NA,NA,1,NA,NA,5,5,3,1,4,1,"Online","Not Attractive","Dominant",113
2,1,1,2,1,2,1,1,1,1,1,1,1,4,6,4,2,2,3,2,2,NA,NA,NA,1,NA,NA,NA,NA,4,5,6,6,6,4,"Online","Not Attractive","Not Dominant",114
1,2,2,1,2,2,3,3,2,2,1,2,2,3,2,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,NA,5,4,3,6,5,2,"Online","Attractive","Dominant",115
2,2,4,4,3,4,4,4,4,3,3,4,4,3,5,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,6,5,"Online","Attractive","Not Dominant",116
1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,3,2,3,2,3,NA,NA,NA,NA,NA,1,NA,NA,6,6,6,6,7,7,"Online","Not Attractive","Dominant",117
1,2,1,2,2,1,1,1,1,2,1,1,1,3,6,2,1,1,2,3,1,NA,NA,NA,NA,1,NA,NA,NA,6,6,6,6,7,7,"Online","Attractive","Not Dominant",118
1,4,4,4,4,3,4,3,4,4,1,3,3,7,7,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,4,4,5,5,"Online","Not Attractive","Not Dominant",119
2,3,1,1,2,3,1,1,1,1,1,1,1,3,2,4,4,2,4,5,3,NA,NA,1,NA,NA,NA,NA,NA,4,4,4,4,5,4,"Online","Attractive","Dominant",120
2,5,4,4,4,5,5,5,3,4,4,1,5,7,7,5,5,5,5,5,5,NA,1,NA,NA,NA,NA,NA,NA,6,5,5,6,6,7,"Online","Not Attractive","Dominant",121
2,1,2,2,2,1,1,1,2,1,1,2,1,6,6,4,2,2,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,5,4,6,5,5,3,"Online","Not Attractive","Not Dominant",122
2,2,2,2,1,2,2,2,2,2,2,3,2,7,7,2,2,2,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,5,6,6,6,6,7,"Online","Not Attractive","Dominant",123
2,2,2,2,2,1,1,2,1,2,1,1,1,4,7,3,3,3,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,6,1,"Online","Attractive","Not Dominant",124
1,2,2,1,1,2,2,2,2,3,1,1,1,7,3,1,1,1,1,4,4,NA,NA,NA,NA,NA,1,NA,NA,4,4,5,4,4,2,"Online","Not Attractive","Dominant",125
2,2,1,2,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,3,NA,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,"Online","Not Attractive","Not Dominant",126
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,1,NA,NA,NA,2,2,2,2,2,2,"Online","Attractive","Not Dominant",127
1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,2,2,NA,NA,NA,NA,NA,1,NA,NA,4,5,5,1,4,1,"Online","Not Attractive","Dominant",128
2,2,1,1,2,2,1,1,2,2,1,1,1,3,5,3,3,3,3,3,3,NA,1,NA,NA,NA,NA,NA,NA,6,6,6,6,6,4,"Online","Not Attractive","Dominant",129
2,4,4,3,2,5,2,3,4,5,2,2,3,2,4,3,4,3,4,4,4,NA,NA,1,NA,NA,NA,NA,NA,6,6,5,5,6,5,"Online","Attractive","Dominant",130
1,2,3,1,1,2,3,3,2,3,1,2,1,6,4,4,3,4,3,2,2,NA,NA,NA,NA,NA,NA,1,NA,3,4,2,2,4,3,"Online","Attractive","Dominant",131
2,2,2,2,1,1,1,1,1,2,1,2,1,4,2,4,4,3,3,4,2,NA,NA,1,NA,NA,NA,NA,NA,6,6,7,7,6,7,"Online","Attractive","Dominant",132
1,4,3,4,3,3,3,4,4,5,4,3,3,7,7,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,6,6,5,3,6,5,"Online","Not Attractive","Not Dominant",133
1,2,3,2,2,2,2,2,2,3,2,2,2,7,3,2,2,1,1,1,3,NA,NA,NA,NA,NA,1,NA,NA,3,2,1,3,3,3,"Online","Not Attractive","Dominant",134
2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,4,4,NA,1,NA,NA,NA,NA,NA,NA,5,5,5,3,5,1,"Online","Not Attractive","Dominant",135
2,5,5,5,4,5,4,5,5,5,3,3,2,4,6,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,5,6,4,2,5,1,"Online","Attractive","Not Dominant",136
2,2,2,2,2,2,3,3,2,2,1,2,3,6,7,3,2,3,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,3,3,2,2,2,2,"Online","Not Attractive","Not Dominant",137
2,2,1,2,1,1,1,1,2,2,1,1,1,6,6,4,4,3,3,4,2,NA,NA,1,NA,NA,NA,NA,NA,6,6,6,6,6,5,"Online","Attractive","Dominant",138
1,2,1,1,2,1,1,2,1,2,1,2,2,4,4,2,3,3,2,2,4,NA,NA,NA,NA,1,NA,NA,NA,5,4,3,2,4,2,"Online","Attractive","Not Dominant",139
2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,2,4,3,1,NA,NA,NA,NA,NA,NA,NA,6,7,6,6,6,5,"Online","Attractive","Not Dominant",140
1,2,1,2,2,4,2,2,2,2,2,1,2,4,4,4,3,3,3,2,2,NA,NA,NA,NA,1,NA,NA,NA,5,4,5,5,5,5,"Online","Attractive","Not Dominant",141
